0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
0.0,-0.66030216,-1.7363642,-0.3645735,0.0,-0.0,0.0,-0.87520933,0.0,0.77535266,-0.0,-0.0,-0.0,0.0,-0.05136931,-0.0,-0.0,-0.16353308,-0.34239766,0.0,0.4687737,0.0,-0.6691451,-0.0,-0.587413,0.0,-0.0,0.0,-0.0,-0.0,-0.6435665,-0.45442456,-0.69613814,0.0,-0.0,-0.58193564,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.38025463,0.35994807,-0.0,-0.29004326,-0.7216565,0.0,-0.0,-0.0,0.0,-0.0,-1.138618,0.0,0.0,-0.0,-1.3941579,-0.36318436,0.0,-0.0,0.7300371,-0.0,-0.0,0.0,-0.7557322,0.0,0.0,-0.47442883,-0.6651582,-0.76225287,0.0,-0.6719955,-1.3818883,-0.0,-0.52733314,0.0,-0.0,0.0,-0.0,-0.08834884,-1.2015127,0.0,-0.57814384,-1.0844806,-0.0,0.0,-1.09963,0.0,-0.0,0.0,-0.0,-1.4184452,-1.4514496,0.0,-0.7091615,-0.3189629,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,1.2187545,-0.43518478,-0.5187015,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.8478339,0.0,-0.2898087,0.0,-0.0,-0.42346722,0.0,-0.4902161,-1.4020973,0.0,0.49087408,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.640815,0.0,0.85437477,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,1.1826668,0.0,-0.0,0.0,0.0,0.0,-0.0,0.4533699,-0.505812,-0.0,-0.49581456,-0.42691505,-0.71988606,0.0,-0.5433728,-0.4099327,-0.6365705,0.8819513,0.0,-0.0,-0.3437853,-0.13351291,0.0,-0.0,0.0,-0.5744281,0.0,-0.3454784,-0.5808996,-0.0,0.0,-0.0,-0.21363641,-0.0,-1.2159169,-1.1535689,0.0,-0.0,0.0,-0.0,-0.746016,0.0,-0.44254985,-0.46397483,0.0,0.0,0.0,-0.40301138,-0.0,0.0,-0.23850986,0.0,0.0,0.0,0.0,0.0,-0.0,-0.5845416
0.0,0.0,0.0,-0.9600107,-0.0,0.0,-1.1967797,-0.55784094,-0.0,-1.0011973,0.0,-0.64909893,0.0,-0.86743927,-0.6158982,0.0,0.0,-0.7593597,-0.0,-1.3343085,-1.3520429,-0.0,-0.22255786,-0.0,-0.0,-0.0,0.0,-0.888871,-0.59040785,-1.0474666,0.0,0.0,-0.0,-0.0,0.0,-0.16306607,-0.2577439,-0.9770693,-1.2721022,0.0,-0.30146587,-1.1615927,-1.0168573,0.0,0.0,-0.86431307,-0.7491879,-0.86978465,-0.33148056,0.0,0.0,0.0,0.9033143,-0.0,-1.2956601,0.0,-0.0,0.35750252,0.93777263,-0.8028524,-0.0,-0.0,0.0,-0.0,-0.7272607,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.77723765,-0.0,0.0,-0.0,0.0,-0.0,-0.6724238,-0.0,0.0,-0.0,0.0,-0.0,0.9365906,0.0,0.88349223,1.4310571,-0.0,-0.0,-0.0,0.0,-0.0,0.70010835,0.0,-0.8853198,-0.81657696,0.0,1.3633698,0.0,-0.84858507,-0.0,0.71557736,0.0,-0.0,-0.66405535,-0.1741593,-0.0,-0.0,0.0,-0.41655838,0.0,0.0,0.38888532,0.0,-0.0,0.5470262,-0.0,-0.0,0.37298703,0.0,-0.32828665,0.0,1.429781,1.3388782,0.0,0.0,0.0,-0.0,-0.14786409,0.0,0.6880121,0.0,-0.62110144,0.0,0.4842916,-1.4086744,-0.6314085,-0.5175693,-0.0,0.17291294,0.90992177,-0.5340731,-1.4597387,0.0,0.9682605,-0.7083909,0.0,0.0,-0.9473945,-0.63590086,0.0,-0.5609979,0.0,-0.0,-1.7477454,0.0,-1.6052629,-0.0,-0.6579402,-0.6069159,0.0,-0.0,0.0,-0.9858562,-1.114259,-0.80987537,-0.813211,-0.0,-0.8375904,-0.0,-0.36082202,0.0,-0.31581542,-0.095182285,-0.6920158,0.0,-0.0,-0.5946138,-0.0,0.79231226,-0.99463975,-0.76584363,0.0,-0.7954563,-0.61969227,0.0,-0.0,-1.0148973,-1.0841993,-0.0,0.0,-0.6668876,-0.0,-0.6386322,-0.42264867
0.6314776,0.14037015,-0.0,0.0,0.0,-0.0,-0.6518792,-0.7433262,-0.85278094,-0.0,-0.87512344,0.0,1.4320775,0.0,1.3923744,0.4620208,0.0,-0.0,-0.0,-0.0,1.1100315,0.7409901,0.5357032,0.0,-0.0,-0.0,0.0,-0.0,0.9848976,0.5222506,0.0,-1.2488579,-0.0,0.0,0.0,0.25135854,-0.15333869,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.47742462,1.2261276,0.0,0.29577368,0.0,0.98079085,0.6636054,1.3894162,0.0,0.0,-0.0,0.0,0.8016305,0.07293239,0.0,0.9826415,1.1668297,0.0,0.0,0.21078108,0.0,0.0,0.6345208,0.37987524,0.0,0.0,0.0,0.0,1.2658868,-0.452269,0.92862326,0.0,-0.0,0.0,0.0,0.14871523,-0.0,0.22468574,0.0,-0.0,0.5731434,-0.0,-0.0,0.0,0.99924093,0.0,0.030215705,-0.0,0.75536686,-0.0,-0.0,0.0,0.0,0.0,0.14214344,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.9580008,-0.0,-0.0,-0.45286277,-0.0,0.0,-0.4727423,0.31486207,-0.0,0.0,-0.0,0.85160774,-0.0,0.0,0.0,-0.0,-0.0,0.9857946,-0.9260862,-0.0,-0.0,-0.3773055,0.0,1.4860644,0.0,0.9822601,0.0,0.0,-0.0,-0.0,-0.0,-0.63684994,-0.7265664,0.0,0.0,-0.386425,-0.0,0.0,0.0,0.0,-0.38817865,-0.0,-0.0,-0.0,0.61748123,2.0801234,1.1519165,0.0,0.31142893,0.0,-0.50007415,0.0,-0.0,0.7663201,0.80990773,0.0,0.0,0.0,0.98172677,0.0,0.0,0.18558216,0.8511058,-0.0,0.0,1.5509317,0.7449411,0.37448835,-0.0,0.0,0.0,-0.0,0.0,0.0,0.7389972,0.0,0.0,0.26012975,0.0,0.44982916,-0.0,-0.0,0.0,0.6724393,0.987255,-0.0,-0.0,0.0,-0.0,-0.0,1.0181191,0.0,0.47374487,-0.0
3.0225914,0.0,-0.61222637,-0.0,-0.0,-0.8513807,-0.7035788,-0.0,-0.5175041,0.0,0.0,-0.0,0.0,-0.0,0.9679902,0.0,0.0,-1.2721761,-0.39611638,-0.0,0.42549798,-0.0,-0.0,0.0,0.6495727,-0.0,-1.1455067,-0.0,0.0,-0.7220791,0.0,0.0,-0.0,-1.0558299,0.0,-0.0,-0.0,-0.0,-1.082118,0.0,0.0,-0.0,-0.0,-0.8405858,0.0,-1.4702607,0.0,-0.30368212,0.0,0.0,1.3567525,0.0,0.0,-0.0,-0.5688558,0.0,2.8325055,0.65229434,-0.0,0.0,-0.5984826,-0.0,0.0,0.22509311,-0.0,-0.0,-2.2636218,0.0,-0.0,-0.26060975,-0.0,0.0,0.9229387,0.0,-0.0,2.2005875,0.0,-0.0,0.0,0.48276523,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.786743,-0.0,1.259804,0.0,0.0,0.8765254,-0.0,-0.0,-0.0,0.0,1.287468,0.80858225,0.0,0.2700105,0.0,0.0,-0.79690516,-0.0,-0.0,0.71922344,0.0,-0.601141,-0.0,0.0,0.57899714,-0.0,-0.0,0.058229856,0.0,-2.6349037,-1.5694411,-0.43727505,1.2986964,-0.0,-0.0,-0.0,0.45514488,0.0,0.0,-0.122700915,-0.40570787,-0.0,0.0,0.0,-0.61233944,0.0,-0.0,1.175816,-0.5840443,1.2340664,-0.0,0.9924195,0.3945901,0.0,0.0,0.4927813,-0.0,-1.7605746,-0.72630703,-0.0,-0.0,-0.0,0.0,0.49347,1.8013817,-0.9162557,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.60442644,0.0,-0.83720183,-0.0,0.12454396,-1.0434084,0.16119057,0.0,-1.2155334,-0.80706316,-0.0,-0.64037126,-0.0,-0.0,0.3140685,-0.61777574,-0.0,-0.623633,0.0,-0.0,-0.0,0.27577785,-0.07572633,0.0,-1.2099767,-0.0,-0.50828576,-0.0,-1.0945776,0.63636756,0.28810713,0.0,0.0,0.99897057,-0.0,-1.6721135,-0.0,-0.0,1.7302088,-0.29562086,0.0,0.0
-0.0,0.0,4.222907,-0.0,0.0,-0.0,-0.0,0.0,0.0,5.81742,0.6913285,0.0,-0.0,-0.0,1.3910185,0.0,0.0,-2.4368606,-0.0,-0.0,0.3945823,-2.8875177,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.7177667,-0.0,1.0667057,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.08349677,0.64750373,0.0,-0.0,0.0,-0.0,-0.4680039,-0.0,-0.0,-0.0,-2.1120942,0.0,5.464963,0.0,0.0,0.0,0.0,-0.0,-0.6027846,-0.0,-0.0,-0.95124805,-0.5965481,0.0,0.0,0.0,0.0,0.0,-0.5974561,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.054101177,-0.0,2.1434476,-0.0,-1.0416977,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-1.2833791,0.0,-0.26981965,-0.0,-0.0,0.0,0.35967687,-0.0,-0.0,-0.2400016,-0.0,-0.0,0.0,0.0,-0.5340032,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-1.180541,-0.0,0.0,-0.92369604,-0.0,0.0,-0.0,-0.0,0.0,0.9585528,0.0,0.40117228,-0.0,-0.0,0.0,-0.34169114,0.0,0.0,-0.34662426,-0.0,0.0,0.7624804,-0.0,-1.4421418,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.33547676,-0.0,0.0,-0.0,0.4979574,-0.0,0.0,0.0,0.0,0.7877496,0.0,0.0,0.0,0.0,-1.7290676,-0.53341305,0.0,-0.0,-0.0,-1.1964128,-0.0,-0.0,-0.0,0.0,-0.0,1.3554275,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-1.783876,-0.7967454,0.0,2.5243592,0.0
-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-1.3623848,0.0,-0.0,-0.34998563,-0.25712505,-0.31697115,-0.0,-1.1652808,-0.0,-0.9693524,0.0,0.45523328,0.0,-0.0,0.65149593,0.2027343,-0.0,-0.0,-0.0,0.0,0.10711986,0.0,0.38630658,-0.8660922,0.0,0.0,0.73940104,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,1.8995862,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.59137076,-0.0,-0.0,-0.0,0.0,-0.0,-0.44466528,-0.0,0.0,0.8887838,0.0,-0.0,-0.878681,0.0,-0.0,0.0,-0.0,-0.0,-0.79136693,-0.0,-0.0,0.0,-0.0,0.0,-0.0,1.3166454,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.57604635,0.0,0.0,-0.463395,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.7952884,-1.3761027,0.0,-0.0,0.0,-0.0,0.68077594,-0.0,0.7865451,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.7111698,0.0,-0.0,0.7401241,0.0,0.0,0.11032049,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.34327924,-0.0,0.0,-0.84915364,-0.0,-0.0,0.0,0.0,-0.0,-0.16486001,-0.9564994,-0.0,-0.7592605,-0.0,-0.49279377,-0.0,-0.0,0.0,-0.8023903,0.0,-1.224844,0.23430556,-0.0,0.0,-0.0,-0.0,-0.0,-0.9347932,0.0,0.0,-0.43155596,0.0,-0.0,-0.992696,0.0,-0.0,-0.67879283,0.0,0.89579725,-0.0,-0.7503318,-0.0,-0.0,-0.0,-0.7392998,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.18321283,0.0,0.0
-0.0,0.0,0.0,-0.71950895,-0.0,-1.4802505,-1.3350551,-0.22868453,0.5401819,0.0,0.0,-0.3607201,0.0,-0.7080446,-0.0,0.0,0.3841447,-0.5346526,-0.6356942,-0.0,-1.4683695,-0.0,-0.43035927,0.5219657,-0.0,-0.05379416,-1.0061383,-0.0,0.0,0.0,0.43642142,-0.6545039,-0.0,-0.7016327,0.0,-0.25497934,-0.0,-0.0,-0.5877589,-0.7749448,0.0,-0.0,-0.849136,-0.53331923,0.0,-0.18224351,-0.6178643,-0.5652302,0.0,-0.7205878,0.57533425,0.0,0.74401766,-0.40025875,-0.0,0.0,1.3317249,0.6897341,0.43017244,-1.0208004,0.0,-0.41727647,0.0,-0.0,-0.0,0.88781744,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.3793631,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-1.2357848,-0.44086117,-0.0,0.0,-0.0,0.0,-0.0,1.3867866,-0.0,0.0,2.0020795,-0.0,-0.0,0.47100782,0.8351217,-0.0,0.38403767,0.0,0.0,-0.5587781,-0.0,0.0,-0.0,0.0,-0.0,0.6980285,0.7577827,0.4364124,-0.8519728,-0.0,0.0,-0.0,0.0,-0.4896928,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.86768603,0.0,0.0,-0.9099134,0.0,1.2529285,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.31262302,0.0,0.41820323,0.0,0.0,0.0,-0.84473735,-0.0,-0.8280484,0.0,-0.0,-0.2519605,-1.072472,0.0,0.0,-0.0,0.51862186,0.057080556,-0.97848403,-0.43175393,-0.94572246,-0.65415365,-0.0,-0.0,-1.1585635,-0.0,-1.68051,-0.0,-0.9934663,-0.0,0.0,-0.0,-0.10152161,-0.9953172,-0.0,-1.4281063,-0.94490165,-0.0,-1.0688645,-0.0,-0.6802687,0.0,-0.0,-0.0,0.0,1.4431627,-1.0745394,-0.9268459,-0.0,-0.0,-0.59050775,-1.2208731,-0.0,-0.0,-0.3215888,0.0,-0.0,-0.39662305,-1.5784917,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0.34132782,0.0,-0.7317127,-0.2153906,-0.0,-0.44514737,-0.39537635,-0.71478003,-1.417596,-0.32533768,-1.169435,-0.02128753,0.44986174,0.0,0.5885853,1.0193114,-0.0,0.0,-0.0,-0.54557097,-0.6844777,-0.59475136,-0.0,-0.0,0.0,-0.3788308,0.0,0.0,-0.7514398,-0.066327855,0.11768055,-0.37831137,-0.0,0.25031385,-0.0,-0.23556031,-0.45671713,-0.0,-0.7867529,-0.34270707,0.0,0.0,-0.52093476,-0.29670897,0.0,-0.95168585,0.0,0.0,-0.6374859,-0.5731842,0.37816414,0.0,-0.8559919,-0.6801163,-0.0,-0.27799407,0.55555105,0.31335324,-0.3912932,-0.0,0.0,0.0,0.42247415,0.0,0.0,-0.0,-0.0,0.1752753,-0.0,-0.0,0.0,0.39553332,-0.0,0.0,0.0,0.0,0.0,0.08569353,0.0,-0.0,0.6807418,-0.5563291,-0.0,0.18964483,-0.20410883,0.0,-0.0,0.9445533,-0.89669144,0.0,0.51811135,0.0,-0.0,-0.28853554,-0.34586492,0.0,0.0,0.0,-0.0,-0.0,-0.66247416,0.0,0.0,0.0,-0.0,0.503984,0.94734186,0.6764561,0.0,-0.0,0.0,-0.29077646,0.0,0.3293291,-0.22570318,0.806561,-0.32356822,-0.0,0.17843,-0.0,0.17960846,0.16990142,-0.2522394,0.4628853,-0.7160544,0.0,0.19013035,0.0,-0.0,0.47896326,0.0,-0.7842703,0.13081193,0.5851492,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.4766666,-0.0,-0.72888196,0.0,-0.4707146,-0.6913409,0.0,0.21210563,0.2975896,0.0,0.0,-0.530684,-0.0,-0.0,-0.2843812,-0.63541627,-0.3763018,-1.5397143,-0.38828525,-1.0836145,-0.0,0.0,0.0,0.74926096,0.9133372,-0.0,0.0,-0.7998315,-0.0,-0.71672463,0.0,-0.0,-0.16246745,0.0,-0.24629697,0.0,0.0,-0.7849859,0.6382449,0.22431642,-0.82934827,-0.95811224,0.45575643,-0.0,-0.4664993,-0.8505974,0.8306791,-1.2877946,0.08259513,0.6275915,0.0,0.0,0.0,0.0,-0.37719512,0.0,0.3044797,-0.05841047,-0.0
-0.0,0.0,0.0,-0.53895557,1.234358,-0.9546051,-0.0,0.31966084,-0.0,-0.24879554,-0.70408666,-0.6310711,0.0,-0.0,-0.0,0.0,0.0,0.7214064,-0.0,-0.0,-1.4915141,-0.0,-0.0,-0.17594308,-0.0,-0.0,-0.908583,-0.2562176,-1.1217178,0.0,0.0,0.0,-0.0,-0.0,-2.002424,-0.8209012,-0.0,-0.0,0.0,-0.5735427,0.2208967,-0.0,-0.0,0.0,0.0,-0.0,0.0,1.2846237,1.7888086,-1.2063632,-0.0,0.0,-0.59406096,-0.76938146,-0.0,0.0,-0.0,0.8755705,-0.0,-0.35119823,0.0,0.0,0.0,-0.0,-0.0,-1.1862988,-0.0,0.0,-0.0,-0.0,-0.28430215,0.0,-0.0,0.0,-0.0,-0.0,-0.51360667,0.61255336,0.0,-0.0,0.34352344,-0.0,-0.0,-0.0,0.0,-0.0,0.0,1.0092274,0.0,-0.47406465,0.0,0.0,-0.0,-0.0,-0.0,0.9277148,0.3694139,2.2061875,0.8094137,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.4490219,-0.0,-0.0,-0.0,0.0,-0.07626201,-0.0,0.22455719,0.18978179,-0.0,-1.4459338,0.50033945,-0.0,0.0,0.0,0.0,0.0,0.0,-0.4571629,-0.0,0.3752389,0.0,0.0,-1.5304765,-0.0,0.0,-0.7293127,0.0,-0.4101474,-0.0,-0.0,0.0,-0.0,0.2707904,1.3105472,0.0,0.0,-0.0,0.0,-0.7110583,-0.048184507,-0.0,-0.34921283,0.9402662,-0.0,-0.0,-0.45129874,-1.5957987,-0.0,1.098172,-0.0,0.387285,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.57900333,0.0,0.29679218,-0.0,-0.0,0.98596865,0.0,-0.0,-0.8265616,-0.0,-0.8866916,-0.0,0.8028696,-0.319469,-1.060197,0.6657575,1.6503726,-0.0641437,-0.0,-0.0,-0.0,-0.0,1.3815787,0.0,-1.1834459
-0.0,-0.0,-0.0,0.28556478,0.32762998,0.7887281,0.24897265,0.44664958,1.5394505,0.0,1.4313971,-0.0,0.4089186,0.7954693,0.6877516,-0.0,0.5026995,0.33706206,0.0,0.55238706,0.6627959,0.9738928,0.46754003,-0.0,0.30885932,0.78550184,0.58270025,0.0,-0.0,0.55440915,-0.0,0.60149395,0.31329662,-0.0,0.28532392,0.34952128,0.0,0.3723881,1.0762634,-0.0,0.0,-0.0,0.6403882,1.1002657,0.8578217,0.6552352,0.96387565,1.0962721,0.5942156,0.91192544,0.0,0.4165243,0.0,0.2876951,0.29593787,0.2977123,-1.4476429,-1.7999988,0.35894984,0.39593357,0.28816527,-0.0,-0.0,-0.0,-0.0,-0.0,0.27854657,-0.0,0.0,0.24210039,-0.0,0.36755693,0.25103286,-0.37251213,0.0,0.46516263,-0.0,-0.0,-0.0,0.45936972,-0.7750929,0.2941941,0.0,0.49409518,0.3643353,0.26147705,0.56026804,-0.2927954,0.40529275,-0.0,0.0,0.0,0.32629997,0.6421739,0.7584308,0.0,0.62604636,-0.0,0.26539767,-0.0,0.0,0.0,0.3106265,0.525212,-0.0,0.0,-0.6633734,-1.1224362,-0.5833296,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.26659188,0.0,0.0,0.0,0.0,0.36577207,-0.0,-0.0,0.2819528,0.0,0.0,0.0,-0.4123075,0.25220025,-0.33131096,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.35317138,-1.1175973,-0.0,-0.0,0.30875897,-0.0,-0.0,-0.0,0.5474729,-0.0,0.0,0.0,0.549032,-0.0,-0.0,0.0,0.6404118,0.49551246,0.0,-0.0,-0.0,0.87037534,-0.30085838,0.0,-0.0,0.2963728,0.71265525,0.474617,-0.0,0.53158766,-0.0,0.0,0.0,-0.0,0.7380037,0.6473255,-0.6625877,-0.0,-0.0,-0.0,-0.0,-0.0,0.44645518,-0.5329695,0.66914284,0.69543785,0.25002983,-0.0,0.0,0.0,-0.300656,0.4785886,0.5340839,-0.38977578,0.0,0.35963744,0.5444483,1.0423833,0.0,0.47504953,-0.0,0.7960226,0.0
