0,1,2
-0.09007329,-0.24746688,-0.09884028
-0.13354376,-0.016683267,-0.1965391
-0.2835173,-15.370951,-0.28239727
-0.16667958,-3.2607155,0.18768683
-0.17208882,-0.22680558,-0.25814405
0.05449461,0.48479098,0.83965886
-0.20417894,-0.19111305,-0.29223222
0.053670313,-0.030496944,0.15929268
0.19204853,-0.03573084,0.30859932
0.09784367,-1.3725452,0.056682058
-0.2211864,-11.200646,-0.44677112
-0.20992789,-0.22279789,-0.40186948
0.0945766,-10.987637,-0.30499485
0.07339527,-0.27604654,0.07140877
0.11939278,-0.054126214,0.026647829
0.10146654,-0.54880357,0.21456423
0.26175565,-0.023615742,0.077427894
-0.06098603,0.12765242,0.22543715
0.07637207,-0.97274536,0.12376993
0.25976303,-3.975817,-0.021454269
0.26002267,0.15844913,-1.2022188
0.03938224,0.1381974,-0.049959425
0.07442466,-0.5801589,0.12934196
-0.40146568,-0.3099233,0.48550108
-0.24573636,0.09891661,0.07622709
-0.16792683,-3.6796327,-0.10826059
-0.0051065935,0.04317888,-0.022479627
-0.16240579,-0.40171564,0.06379948
0.13681126,0.4738343,-0.17910692
-0.06280408,-5.2095904,-0.19354168
-0.46251985,-8.2923765,0.57172936
0.06929697,-0.06527271,-0.069892175
-0.055070166,-9.691624,-0.021335948
0.085379034,0.038822707,0.20510371
0.23397118,-5.297472,-0.15156965
-0.112280875,-0.19101295,-0.2067126
-0.2120311,-4.5806994,0.08420266
0.2069738,-0.06505222,0.121520944
0.016471284,-2.5837462,0.016048046
-0.023808898,-0.45144418,0.03292475
-0.11690896,-0.22646442,-0.1543536
0.11289501,-0.881973,0.081554644
0.091428734,-2.8542476,-0.031874195
-0.08962839,-0.17886554,0.017797925
0.042141978,-0.4206525,0.27359837
-0.4199236,-0.026852695,-0.403392
-0.21175899,-3.5448437,-0.31981426
0.1572904,-0.067098156,0.16850434
0.029215183,-0.68349814,0.027364414
0.08710058,-7.62109,-0.34397253
-0.09166338,-0.28446805,-0.12638518
-0.079318345,-9.77727,-0.053355686
-0.2270422,-0.040368665,0.027585711
0.093059756,-0.012033751,0.056691777
-0.09447997,-0.062764786,-0.064088754
0.024573797,0.089178875,-0.8483424
0.23242685,0.31132767,-1.4281706
-0.0014382328,-0.04165108,-0.10243156
0.053381536,0.053471807,0.06232869
-0.17170416,-0.43069452,-0.24137606
0.4825156,0.59623754,-1.1526182
-0.051798187,0.1261549,-0.1250058
-0.019379353,0.09818088,-0.15709114
0.055700485,-0.12300731,0.1271266
