0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-0.54281896,0.011730999,-0.55391985,-0.053828355,-0.3337535,-1.03207,-0.12866224,-1.3851395,-0.10129388,-0.37871537,-0.1118786,-0.08518362,-0.09094857,-0.14087482,0.09959613,-1.0072223
0.09068023,-0.061297953,0.17673242,-0.46762118,0.049062822,-1.9218433,-0.23942858,-1.6328356,-0.04325207,0.2535768,0.028358378,-0.61484003,-0.9400925,-0.1926842,-0.58533126,-1.4170443
0.49704245,-0.09754774,-0.78397775,-0.11080068,0.91122174,-1.0622048,0.34306383,-1.2978517,0.1479026,0.015810966,-0.21705371,0.03895577,-0.6245942,0.20066552,0.025086315,-0.06778952
-0.07592228,-0.396485,-0.08396208,-0.11010006,-0.13327703,-2.1672988,-0.33654305,-1.6984706,-0.003663297,0.24866502,-0.05311381,-0.27541542,-0.061884563,-0.06074299,-0.67581636,-0.756738
-0.08639737,-0.47213456,-0.131351,-0.4327431,-0.15175274,0.033296984,0.14376883,0.17346555,-0.15934022,-0.41818136,-0.15942396,-0.016333653,0.14547728,-0.1896997,-0.6877197,-0.030314859
-0.05722392,-0.189087,0.3109621,0.3773027,-0.2430909,-2.0687473,-0.8386442,-1.7454503,-0.025439858,0.12753348,0.048929676,-0.13531919,-0.7715592,0.08123505,0.044042066,-0.6200576
-0.36600858,0.25158077,-0.03817547,0.13310301,-0.36468926,-1.222471,-0.9068011,-1.1861105,-0.23417644,-0.1446425,-0.31911343,-0.05472455,-0.39316767,0.38881636,-0.9318573,-1.3942754
-0.1872041,0.12951618,0.45971206,-0.112942204,-0.03360855,-0.6122828,-1.2843463,-1.3607649,0.023384348,-0.35528502,0.14645638,-0.5889925,-0.48971426,-0.46136343,-1.0811032,-1.3431504
0.27866104,-0.011541456,0.5547236,0.23077986,0.20807137,0.049534194,-0.6830953,-0.49302757,-0.3933257,-0.37357265,0.12430747,-0.78259283,-1.3186693,-0.24770048,-1.0841882,-0.8115401
-0.43807548,0.16345608,0.2191697,-0.1442202,-0.11818349,0.15588889,-0.9038058,-0.16528803,-0.41341048,-0.7019008,-0.19392374,-0.15400684,-0.7098611,-0.5251016,-0.67024815,0.035786368
