0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
-0.19872361,-0.0003604821,0.16184783,0.12882604,-0.14093524,-0.10596451,-0.13895541,-0.22539629,0.020042367,0.085832424,-0.05373515,0.10832216,0.0092379805,0.13829237,-0.22532678,-0.14246379,-0.2396,-0.0703722,0.10267562,0.10169889,-0.114410356,0.30268332,-0.108682014,0.09185948,-0.47933882,0.32805112,-0.0059116194,-0.10749475,0.0873023,-0.028304204,-0.107262015,-0.07571508,-0.08796714,0.02885337,-0.13237575,0.10733312,0.025437701,0.19979571,-0.16558266,-0.07683354,-0.03239406,-0.08485076,-0.06680167,-0.008417051,0.14025675,-0.18185478,-0.006073493,0.1589967,0.20490624,0.0055813463,0.17369092,0.056456864,-0.10966826,0.10779493,0.037588254,-0.17349406,-0.04484251,0.055142976,0.09839965,-0.30229732,0.010748662,0.056441378,-4.842593e-05,-0.20689468,0.07367168,0.044427697,-0.0763529,-0.23368067,-0.07790659,-0.499731,0.18439373,-0.1822667,0.086720094,-0.15029176,-0.18682005,-0.21062344,-0.022381805,-0.012048863,-0.1886803,-0.20525816,0.090805836,-0.058741294,-0.033689767,-0.10311369,-0.10825778,-0.032179546,0.07300295,0.07968343,0.042632822,0.0282231,-0.14819497,-0.22647527,-0.17243217,-0.20163341,-0.23310718,0.022204863,0.05169163,-0.16329071,0.04263432,-0.08754651,0.13980582,0.2031561,-0.15190274,-0.26939875,-0.02449987,0.023199024,-0.24112242,-0.012542167,-0.038700998,0.009091175,-0.2083655,0.20814143,0.08779682,0.077890515,0.13430926,-0.18811353,0.037075795,0.1106386,0.097698234,-0.3534819,-0.20188034,-0.20558916,-0.014023511,-0.1216252,-0.05130249,-0.1979256,0.06968731,-0.055613838
0.023226023,-0.19484784,-0.1535282,0.07134098,-0.16421327,-0.038766623,-0.024975121,-0.20374592,0.14606404,-0.19392535,-0.06243518,0.012779221,-0.15942878,0.016142845,-0.058912173,-0.13444126,0.069212735,0.18576756,-0.0344114,0.037402973,0.18428189,-0.032890275,-0.17665383,-0.069420785,0.06552172,0.07533848,0.015243918,0.17211217,-0.0076319575,0.18919307,0.07096213,0.006414503,0.1671057,-0.10115687,0.19609785,-0.12632224,0.10708192,-0.15601955,-0.030297786,-0.10860424,0.16986391,0.017366573,-0.1516096,0.087582976,0.09915647,0.0033431351,-0.011969015,-0.022824526,-0.03313434,-0.016685814,0.048590958,-0.12503771,0.0055809915,0.16759732,0.18941572,0.08631796,0.119500875,-0.009548664,0.08599448,-0.088189304,-0.024789259,-0.09462961,-0.1921383,-0.037788317,0.061345875,-0.1737923,0.0032361597,-0.022847742,-0.070001334,0.06379655,-0.09118617,0.13981986,-0.023609921,-0.08342077,0.14126271,0.045150027,-0.034696504,0.17306414,0.16159514,-0.01781854,0.052010417,0.14721915,-0.0666675,0.07936311,0.1423091,0.16982141,-0.18326801,0.19347966,-0.1856726,0.09057677,0.05849603,-0.05200243,-0.13193223,-0.072013766,0.13028377,-0.04467246,0.15218624,-0.18862474,-0.0947997,-0.12240741,-0.13808246,0.08267364,-0.089478694,0.16552159,0.09657803,-0.18305612,0.05909288,0.09648663,-0.19378904,-0.027822241,0.04999453,0.11171141,0.034489706,0.087271005,0.08164531,-0.11560026,-0.15057285,0.20024472,-0.14658858,-0.12893112,-0.042037725,0.05253294,-0.20237447,0.13665405,0.18306327,-0.08442292,-0.1805938,0.15730953
0.12324954,-0.029590618,-0.1583927,-0.66464365,-0.078228764,0.049399555,-0.27373686,-0.028366525,0.044288762,-0.012552383,0.024016663,-0.024421316,-0.04625671,-0.028200228,-0.11905232,-0.14708729,-0.21831365,-0.2348834,-0.011629239,-0.046639785,-0.2059664,-0.12165461,-0.1322308,-0.16910651,0.05083326,-0.1410011,-0.3795921,-0.4905665,-0.10794168,-0.7373728,-2.180789,-1.5980111,-0.08500393,-0.4574026,-0.09762146,-0.019976703,-0.19504975,-0.13348868,-0.61540407,-0.068204276,-0.06474763,-0.16051227,-0.16474015,-1.8993185,-0.80436325,-0.042555705,-0.13902888,-0.5275299,-0.011477762,-0.124188505,-0.39918312,-0.03132407,-0.4842016,-0.0052280216,-0.04985147,-0.5634279,-0.07674994,-0.03061307,0.072703764,-0.06217672,-0.09083525,-0.004117429,-0.31190398,-0.18811257,-0.09522905,-0.14390759,-0.096650936,-0.21908127,-0.10017873,-0.08877817,-0.014116662,-0.3331835,-0.06753354,-1.4901134,0.00015908616,-0.014374183,-0.08395675,-0.18045583,-0.120208144,-0.22093064,-0.350649,-0.19592805,-0.1233351,-1.038115,-1.4268817,-0.008316486,-0.22004932,-1.2771004,0.037113067,-0.10297606,-0.32108918,-0.09081769,-0.2892977,-0.31317276,-0.08952011,-0.68397963,-0.14218202,-0.053310096,-0.27301323,-0.21839555,-0.15544608,-0.1804247,-0.27197492,-1.4507991,-0.37874117,-0.20073523,-0.023370523,-0.41255036,-0.39860862,-0.047242302,-0.04687003,-0.29176587,-0.0060446644,-0.23680817,-0.02492018,-0.25649324,-0.684267,-0.17031091,-0.06146392,-0.099783674,0.11559448,-0.21721989,0.07298678,-0.14054139,-1.3361002,-0.0046126493,-0.008158255,-2.5336108
-0.0053905547,0.090168834,-0.1538328,0.14159296,0.10253638,0.022657383,-0.027181104,0.108124375,-0.19301444,-0.027836006,0.100033164,-0.052857846,0.061370313,0.061535344,0.020204976,-0.17867704,0.18431193,0.03386925,-0.06768038,-0.21217777,-0.08585134,-0.020013714,-0.04612097,0.039282404,-0.0490465,-0.18088143,0.13910437,-0.018848771,0.07697307,-0.20274727,0.13123417,0.036034215,-0.058416113,-0.11891895,0.09390852,-0.1069796,0.019253694,-0.1468815,0.12688968,-0.12942621,-0.076867566,-0.123675816,0.14867088,-0.08163016,-0.08334656,0.20720127,0.1942606,0.014327899,0.12748663,0.037915632,-0.17068449,0.15961444,0.020135256,-0.13241354,0.11253846,-0.07772416,0.19744296,-0.16420846,-0.16095637,-0.11634501,-0.1469003,-0.045912296,0.009173553,-0.013101831,0.05861133,0.090667345,-0.11561397,0.077661365,0.08705352,-0.05867949,0.115898855,0.12248176,-0.08147634,0.13192749,0.10396211,0.034564316,-0.039506406,0.07969457,0.07848813,-0.1919392,0.19302319,-0.1364311,0.01968132,-0.11360861,-0.07791883,-0.2042243,0.10295947,0.14264748,-0.008603841,-0.0073629767,0.049996436,-0.050487235,0.059190314,-0.08736718,-0.06630157,0.0022691935,0.0683085,0.17001462,-0.17745873,-0.032901853,-0.047985096,0.16010574,0.032844003,-0.13677123,-0.10655493,0.19003348,0.17772639,-0.17410791,-0.061333746,0.12864996,-0.17864037,-0.015276501,-0.18548875,0.031626843,0.050850224,0.013265434,0.13720253,-0.06844419,-0.08302266,0.09661645,0.16071543,0.107114285,0.14668293,-0.021520987,-0.07165246,-0.004952058,0.009531109,-0.12212743
-0.6246326,-0.0048683197,-0.26750562,-0.16882901,-0.3110754,0.097918,-0.59694993,-0.205149,-1.4586616,-0.27832422,0.068900324,0.22332452,-0.016923632,0.1663773,-0.13701278,-0.11971986,-0.14861907,-0.055488415,-0.12622187,0.08998715,-0.06593801,0.025153527,-0.086816,0.16335508,0.059942547,-0.045481376,-0.0018696068,0.0026960766,0.10095279,0.25322193,-0.08590415,-1.317543,0.0034265243,-0.0013188759,-0.0066438196,0.22720222,0.00985962,0.18662927,-0.26688778,-0.04913761,-0.11648283,-0.21247286,0.22834459,-0.0074847494,-0.97085047,-0.064348616,0.009158211,0.12333116,0.22930491,-0.11008342,0.2276568,-0.15611185,-0.04276542,0.22735198,0.14663841,0.29958063,0.31416777,-0.15884924,0.21975125,-0.0030580794,0.13513668,-0.13493462,-0.10165473,-0.17980804,-0.29796803,-0.060690172,-0.32255268,-0.14038637,-0.07250336,-0.18565953,0.62651074,0.043991867,-0.009042267,-1.2054789,-0.1690524,-0.15368438,-0.09009982,-0.1903966,-0.13516897,-0.17600308,0.012074075,-0.45639333,-0.15794823,-1.1238998,-1.1602061,-0.030421011,-0.16637604,-0.9849434,0.21217449,-0.046380315,0.02115394,-0.2716332,-0.21016458,-0.19032352,-0.073109835,-1.8526276,0.0016846873,0.035228916,-0.16108397,-0.05299835,0.20611742,-0.0037703284,-0.103057645,-1.1810882,-0.009523519,-0.07398079,-0.3401334,0.18604903,-0.23509812,-0.22576788,-0.10064051,-1.2211907,-0.016100178,0.038176157,0.16730714,-0.088462904,-0.38919365,-0.01661918,-0.27718568,0.023262488,-0.19709462,-0.13836834,0.14480042,0.17314824,-0.84819156,0.34520364,-0.013150632,-2.1364367
-0.27017397,-0.29871368,-0.0012643831,0.39783353,0.047919773,-0.14069664,0.44653028,-0.051315434,-0.1887072,-0.12178844,-0.29983225,-0.04861688,0.015505842,0.2515335,0.026895456,0.13463172,-0.22446206,-0.26871517,-0.14661881,0.041413285,0.088441625,0.21229964,-0.010056663,0.06860222,0.22770108,-0.10547843,-0.028062332,0.39368653,0.1275084,0.05095476,0.037027013,-0.20301685,0.021547709,0.1051473,-0.5815117,-0.14392585,-0.20153229,0.12757745,0.41232955,-0.18101105,-0.04286696,0.002729132,-0.062360566,-0.30111885,-0.1606411,-1.0235167,-0.0068193274,0.48202828,0.4014737,-0.084921114,0.10811491,-0.3619597,0.3462382,-0.006027497,-0.3175394,0.30475938,-0.14414975,-0.19038464,-0.036201753,-0.25376335,0.06837791,-0.3362268,0.098892845,-0.06468689,0.12691885,-0.1047483,0.18674998,0.08088826,0.0366072,0.4321603,-0.05213247,-0.064982384,-0.09960123,-0.245195,0.0914979,-0.07115248,-0.14215888,-0.66627157,0.27080354,0.064535916,0.00040359612,0.23397422,-0.37754294,0.0808274,-0.40260863,-0.08995832,0.050689347,-0.35461584,-1.2269753,0.17971067,0.1105748,0.1308034,0.26060298,0.047000643,0.075040966,0.27714732,0.03776989,-0.06648902,0.3205714,-0.04525674,0.025916448,0.4527189,-0.16979335,-0.19544534,0.23284219,0.18317553,-0.36373636,0.10041144,0.21037976,-0.014470277,-0.028318891,0.5497916,-0.3999178,-0.010131101,-0.04220069,-0.017516982,-0.14629328,-0.09981834,0.042506468,-0.14867918,0.1270353,-0.06473513,-0.4127648,0.09113632,0.23565109,-0.07142692,-0.08603631,0.21526179
-0.22420463,-0.020465199,0.18634667,0.4321077,-0.29700714,-0.6686931,-0.30474764,-0.0041974317,-0.21934076,-0.26354277,-0.32034415,0.21829623,-0.21422435,0.07903498,-0.33781314,-0.10186683,0.037206214,-0.12622328,-0.18822189,-0.790477,-0.25463942,0.1602933,-0.29043347,-0.061275557,0.29911953,-0.12790142,-0.06156084,0.30474898,-0.05977598,0.2400159,0.09252722,-0.1365708,-0.052072793,0.34290102,-0.39441517,0.22418363,-0.055032533,0.5407117,0.16031267,0.05018285,-0.10303323,-0.22906055,0.25258937,0.098034255,0.1667351,0.045942593,-0.20024362,0.16519141,0.20240735,-0.15978196,0.13916315,-0.319974,0.21982913,0.16296358,0.21571636,0.14995833,-0.107481405,-0.25938025,-0.0728772,-0.009839538,-0.12080042,-0.037592154,0.14258012,-0.019215105,0.29183286,0.0073453835,-0.0045168777,0.1112362,-0.06299738,0.30690467,0.22090267,-0.039207146,-0.019537304,-0.41632745,0.33012688,-0.017380534,-0.14432609,0.03000321,0.11311472,0.21539977,-0.527061,0.09143223,0.18830676,-0.05184636,0.14459765,-0.046339996,0.22598135,0.030236878,0.094081394,0.1337987,0.24644098,0.04874174,0.32976192,-0.2219423,-0.31074876,-0.05677885,-0.49180087,0.055464104,0.101277724,0.17977808,-0.14376554,0.3212767,-0.00683006,-0.29389557,0.15908943,0.2115749,-0.116104275,0.13543698,0.17381176,0.1808961,0.21788467,0.0020419613,0.019854339,-0.30652907,0.17139558,0.36433136,0.2752239,-0.05912816,0.107275665,0.10884105,-0.013184461,-0.19749548,-0.13916655,-0.0039083897,0.006618136,0.24695086,-0.07243895,0.13061306
-0.32203275,-0.02116247,0.3070868,0.36353663,-0.22985181,-0.15748772,0.6885597,-0.070307195,0.06362458,-0.12829618,-0.011442027,0.20693468,0.009942107,0.10801948,0.089965045,-0.100584574,-0.35794464,-0.4459039,-0.14805277,-0.18104607,-0.15960431,-0.2116035,0.012919848,-0.011701819,0.21347767,0.07345723,-0.05983709,0.029673632,-0.014815809,0.15251087,0.31870985,-0.16774565,0.043289937,-0.16246271,-0.2873046,-0.08454782,-0.1412444,0.060242575,0.064396806,-0.0032475889,-0.15713686,0.0044954806,0.17963096,-0.42897898,-0.206092,-0.024954371,-0.15358795,0.64578396,0.17966305,-0.20027073,-0.11463183,-0.16158561,-0.032136843,-0.053644307,-0.23299798,-0.12635851,-0.25989428,-0.015435081,-0.21479945,-0.14472598,0.049335275,-0.3112552,0.1682679,-0.13938262,0.22069512,0.01505092,0.043096196,0.013988963,-0.20722838,0.66381335,0.18295538,-0.07258208,0.11659605,0.027575446,-0.100549355,-0.13113323,0.079587586,0.068008415,0.2410772,0.16244961,-0.049810287,0.25149402,0.11160456,0.07317781,-0.009007278,-0.023124404,0.18609408,-0.09981588,-0.1138926,0.07573808,-0.047523327,0.17800546,0.178083,0.07507651,0.26161775,0.1575512,-0.32448623,0.30451232,0.35016254,0.039315972,0.49055022,0.23623125,-0.20154804,-0.031498075,0.21260424,-0.03274137,-0.056880068,0.0011871345,-0.35278192,0.13378508,0.05653897,-0.3195634,0.031499572,-0.13973537,0.26307878,0.08964117,-0.22403331,0.011493795,-0.059549276,0.15095595,0.19790879,0.045456704,-0.2675795,0.057682965,0.32416412,-0.11603757,-0.2332524,0.095392615
-0.25053152,0.09214549,0.1410369,0.18932183,-0.14541075,0.10865824,0.0956442,-0.1971631,0.03532947,-0.066230945,-0.12964162,-0.12601057,-0.09411738,0.09053974,-0.12542067,-0.11891296,-0.038299788,0.029491201,0.019255538,0.19164981,-0.24516898,0.11393866,-0.06372864,0.19509599,0.039364703,-0.17247659,-0.21132684,-0.14105032,0.12923421,-0.15994896,0.1451816,0.06600135,-0.11144179,0.11693225,0.020452647,-0.14595959,-0.07522967,-0.1278351,-0.11934728,-0.023620017,-0.21984352,-0.17170791,-0.032263048,-0.048603576,-0.10565154,0.13060978,0.15372513,0.07940787,-0.043122843,-0.06786565,-0.09906054,0.00841679,-0.06868654,-0.17583436,-0.2814485,0.19455366,0.25196588,-0.05953355,0.13069443,0.12955517,-0.11410308,-0.10497249,0.019753275,0.113965176,0.025637168,-0.13093057,-0.06732062,-0.109045625,0.076100975,-0.028840201,0.08256898,-0.19121133,0.043235533,-0.10041044,-0.20015858,0.06491367,0.08887587,0.078842916,0.021291317,-0.1752901,0.12126742,0.046379987,0.09590519,0.12230065,0.1871037,0.077605434,0.026565826,-0.08944103,0.07976749,-0.005413204,-0.08734631,-0.066393256,0.15068816,0.07461531,0.10925904,-0.19032395,0.18722348,-0.1639943,-0.098627694,0.06267673,0.18455312,0.03790851,0.060035508,0.14167303,-0.010705473,0.04894971,-0.029981634,0.09844964,-0.018684432,-0.042291515,-0.012178189,0.04106574,0.13515654,-0.004515303,-0.13153294,-0.15000688,-0.19178298,0.16254349,0.013065632,-0.04765393,-0.09623805,0.17017384,-0.044805005,-0.19033895,-0.20228659,-0.02506987,0.10560952,-0.14130777
-0.18467994,-0.0430897,0.08589506,-0.04263621,-0.14894295,0.25132185,-0.032026865,-0.18774562,0.19734809,-0.00085462286,-0.08742134,0.040625583,-0.025734596,0.13845846,0.16345397,0.1970566,0.22519128,0.018571641,-0.07379536,-0.018239124,-0.11033509,-0.22975668,0.11806803,0.15628125,-0.13296163,0.07621731,-0.16323625,-0.14189574,0.012930695,-0.2020639,-0.14949845,-0.045902777,0.28033194,-0.029610284,0.08608629,0.19167691,0.11509318,-0.07162697,-0.024377003,-0.016404407,0.104542874,-0.11040058,-0.23743999,0.16936941,-0.021719081,0.04903958,0.25320122,0.17206803,0.08132255,-0.030403864,-0.14545563,0.13041554,0.008898093,-0.19401908,-0.06140809,0.009913708,-0.052586675,-0.027445555,0.23677252,-0.25503683,-0.1609934,0.14973882,-0.2164474,-0.22463669,-0.19198027,0.091067925,0.062099684,-0.100882,0.06129974,-0.12862661,-0.0076527945,0.12252935,0.00019399825,-0.27560052,-0.008762463,0.19089738,-0.026073309,-0.18591747,-0.08929204,-0.016961515,0.13302828,-0.0142576555,-0.18542357,0.19233918,-0.08252405,-0.25520205,-0.025747972,0.11068865,-0.12642677,0.10040756,0.24659781,0.28065833,-0.013479942,-0.14704719,-0.10877501,0.10724339,0.28657305,0.11534955,0.27765286,-0.027032357,-0.032162383,-0.11572587,0.12113492,-0.15014274,-0.022830488,-0.0076368237,0.13097423,-0.27840832,-0.084956944,-0.14545225,-0.025758633,0.0066377744,-0.1794752,-0.030351028,0.23905036,-0.018592544,-0.033824258,-0.025256561,-0.071793094,0.015866723,-0.18901768,-0.20628951,-0.07714705,-0.1959401,-0.2008076,-0.03405373,0.021679292,-0.019504724
