0,1,2
-0.05260204,-2.2874708,0.29989776
0.099595614,0.64033467,0.30040547
-0.13387062,-0.87252545,0.24094327
0.21137394,-0.20326385,0.14867175
0.087493375,-0.3317053,-0.5585593
0.17647935,-0.27340242,0.0032445074
-0.106219344,0.09197017,-0.04407585
0.12116893,0.110160515,-0.10789968
0.19051291,-0.06912708,0.1919903
-0.3041703,-7.9997396,-0.12851442
0.21004371,0.2150859,0.24480413
0.10119147,0.33423558,-0.243309
-0.11602009,-5.038797,-0.13192984
-0.01373052,0.53086567,0.12722431
0.24572349,-0.1631834,-0.11648364
0.13950679,-8.82629,0.13915223
-0.229792,0.047989577,0.26783365
0.53737867,-0.10672204,0.23902543
-0.06818012,-0.2548817,-0.017049776
-0.29223478,0.49418,-0.3348829
-0.15961775,-0.21535265,-0.16147944
-0.11913305,0.16093594,-0.2341747
-0.042840324,-0.0014058237,0.21713081
0.030439636,0.008482678,0.10539438
-0.3165806,0.18884866,-0.05763743
-0.014166965,-0.2361781,-0.08557324
-0.015946256,-0.05876634,-0.01201203
-0.01915242,-0.6801409,-0.12973051
-0.11817296,-0.33151665,0.08133232
-0.044269577,-5.7957354,-0.025978118
0.13030873,0.28115374,0.120174095
-0.047340106,-0.07503121,-0.19912507
-0.23550671,-0.37882695,-0.22575445
-0.26490372,-3.2686036,0.14330508
0.328381,0.029575232,-0.09402125
-0.025884045,0.34092918,-0.010407559
-0.18307,0.13026638,0.4565523
0.15800518,-0.020373194,0.16712065
-0.19017442,0.27109817,-0.2130685
0.16496836,-0.22592913,-0.10498164
-0.2870506,-0.27357098,-0.2908252
-0.0033186139,0.2929059,-0.6924301
-0.090134636,0.3448838,0.22487195
0.19313493,-5.437074,0.3359059
0.06372112,0.5798064,-0.32810333
0.16904762,0.16647595,0.1483299
0.011654593,-0.20125438,-0.018278431
-9.12814e-05,-0.10531081,-0.00567607
-0.065411985,0.3912636,-0.27864683
-0.17546707,0.16769648,0.42211
-0.17772873,-1.1225104,-0.34716702
-0.061736263,-0.049913023,-0.18847558
0.054270007,0.31817964,0.124985375
0.5114127,-1.7283075,-0.3632638
0.03918725,0.173258,0.22481897
0.11868363,-0.27012426,-0.20411156
-0.18649407,0.33693856,-0.6668997
0.009523256,-0.08309625,-0.17167757
-0.21009275,0.1935361,0.113026254
-0.22643268,0.012136232,-0.22891101
0.101267636,-0.10446549,0.11210971
0.19134285,-0.268201,0.19901517
-0.18661296,-0.12654488,0.15251006
0.20784919,-0.059546668,0.06246559
