0,1,2
0.31087106,-1.228981,0.21277648
0.24514978,0.16217233,-0.087856665
-0.3437595,-0.37581477,0.42051777
0.1568968,0.014679824,-0.14063635
0.17188065,0.31896982,-0.4439782
-0.84497297,0.075593315,1.166232
0.13136706,0.4492111,-0.4457751
-0.058381032,-0.261,0.45260292
-0.14351062,0.3567679,0.8404075
0.6635253,0.1527297,-1.1804409
0.2459452,-1.4160928,0.24481279
0.19444676,-0.28407246,0.5449862
0.37697366,-0.14048956,-0.95525974
-0.394413,0.6995679,0.21332945
-0.23088501,-0.3968112,0.5050629
0.12452533,1.5186517,-0.13998118
-0.8121765,0.6311436,-0.15438488
0.1276134,-0.6087418,0.05741227
0.45700693,-0.18160303,-0.44858795
-0.13230853,-1.5289084,0.27508578
0.24394947,-1.2336066,0.35240084
-0.314455,0.9080443,-0.29246482
-0.2872535,1.7523361,-0.101075485
0.0039234287,-2.5830264,0.08442108
0.29673886,-0.26763952,-0.004256721
0.12833881,-0.43960735,0.16373146
-0.540435,0.45021644,0.05701502
0.0069631804,-0.91104555,0.026572937
0.05532706,-0.22152567,0.8934675
0.025600316,0.04574484,-0.026209215
-0.070567966,0.6290062,-0.30308384
0.029204728,-0.012998147,0.032011405
0.006247119,-0.4172163,0.29957455
0.19671659,-1.8846514,0.32840198
0.006487389,2.307859,-0.25898585
-0.28828475,-1.0076998,0.11507015
0.033714257,0.20072755,-0.6157754
-0.020995878,0.15804538,0.12273325
0.13772367,0.5083823,-0.45167977
-0.390779,0.18272977,0.4467478
0.30865806,-0.06425513,-0.37009445
-0.0039403327,0.5187479,-0.016484708
-0.65217566,0.29883057,1.4646437
0.062323757,-0.30195212,0.11161125
-0.327753,1.4583145,-0.0014463995
0.34296015,0.23821202,-0.13277747
-0.43214872,0.31263244,0.57356995
-0.051310953,0.5501081,-0.15603982
0.09950083,-0.29196963,0.66037565
-0.111526676,-0.15436372,-0.1019045
